私密頻道,#genre#

惊艳,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/85.ts
潘多啦,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/86.ts
彩虹,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/87.ts
松1,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/88.ts
松2,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/89.ts
松3,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/90.ts
香蕉,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/117.ts
松視1台(台版),http://kds.livemoyu.dpdns.org/cr/proxy.php?token=3f4d33beef6d97a115f7034bf30c3f89&expires=1780399024
松視2台(台版),http://kds.livemoyu.dpdns.org/cr/proxy.php?token=d554a1d1aaea0a9df3e5f4f07b8e9821&expires=1780399024
松視3台(台版),http://kds.livemoyu.dpdns.org/cr/proxy.php?token=c0ae67f5f4540510ba2ebed44bcb0e7c&expires=1780399024
惊艳台(台版),http://kds.livemoyu.dpdns.org/cr/proxy.php?token=f8316c53ce7add3da3d2eee5c015b92b&expires=1780399024
潘朵拉完美(台版),http://kds.livemoyu.dpdns.org/cr/proxy.php?token=47f2fbcee402711592d2501bcfd3638d&expires=1780399024
松視3,https://z3.ubtvfans.com/live/rx3/404/480fe5db5808b25f8ea2d51ccea17233/index.m3u8
潘朵拉完美,https://z3.ubtvfans.com/live/rx3/410/4bed718a67aa82a3c0c30be5919498f7/index.m3u8
JStar,https://z3.ubtvfans.com/live/rx3/2909/7ea5f8d0bef36a6a3503e2d148873d07/index.m3u8
彩虹E,https://z3.ubtvfans.com/live/rx3/406/03c7100e4af027d56d4a65f2ac40740d/index.m3u8
彩虹E,https://z3.ubtvfans.com/live/rx4/2935/e950ccd5217296d1dbe7590e56dc1499/index.m3u8
彩虹K,https://z3.ubtvfans.com/live/rx3/415/15b51d347d222d169964b2bcf3535be2/index.m3u8
極限電影,https://z3.ubtvfans.com/live/rx3/405/fed61aa5af46663a552bfed2bd8c0a3f/index.m3u8
彩虹频道,https://z3.ubtvfans.com/live/rx5/2914/970e6b93d6cf6a4c26b6adfcc6b05445/index.m3u8
奥视频道,https://z3.ubtvfans.com/live/rx5/2915/97f674dacae533e3aea1346bf062d60c/index.m3u8
奥视频道2,https://z3.ubtvfans.com/live/rx5/2916/e6fef1f52b41a9f7c8661ce1a3ac95b8/index.m3u8
极限电影台,http://lc.aacalive.com:26789/i/ghjnvq5o/8c855fdf/index.m3u8
松视1,http://lc.aacalive.com:26789/i/ghjnvq5o/8c85giea/index.m3u8
松视2,http://lc.aacalive.com:26789/i/ghjnvq5o/8c85fsaf/index.m3u8
香蕉台,http://lc.aacalive.com:26789/i/ghjnvq5o/mdfdc123/index.m3u8
彩虹电影,http://lc.aacalive.com:26789/i/ghjnvq5o/8c855d75/index.m3u8
彩虹E,http://lc.aacalive.com:26789/i/ghjnvq5o/8c855daa/index.m3u8
俄罗斯极限电影台(免翻),http://ef90a6cd.rossteleccom.net/iptv/2TBC4G2WWDG6RSUSN5SXSQEC/14158/index.m3u8
惊艳台(免翻),http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/85.ts
惊艳台(免翻),http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/87.ts
潘多啦完美(免翻),http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/86.ts
香蕉台(免翻),http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/117.ts
香蕉台(免翻),http://125.227.210.55:1009/VideoInput/play.ts
香蕉台(免翻),http://atryffad.usa3.345123.xyz/jrw.php?id=Bananachannel
香蕉台,https://stream1.freetv.fun/58de13dd44637831a30fd05decc775f0648b376c707586e3dcbe7da08a87ea53.ctv
香蕉台,https://t.freetv.fun/live/xiang-jiao-2.ts
松视,http://125.227.210.55:1022/VideoInput/play.ts
松视1(免翻),http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/88.ts
松视2(免翻),http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/89.ts
松视3(免翻),http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/90.ts
彩虹电影(免翻),http://atryffad.usa3.345123.xyz/jrw.php?id=Rainbowmovie
Happy(免翻),http://atryffad.usa3.345123.xyz/jrw.php?id=HappyHD
奧視2,http://125.227.210.55:3031/VideoInput/play.ts

松视1,http://104.166.141.237/pull-f5.flive.douyincdn.com/live/26651aff22ab03202ee2cf8706f29d66.flv
松视2,http://104.166.141.237/pull-f5.flive.douyincdn.com/live/5063c1703bf14a26af237f4826491342.flv
松视3,http://104.166.141.237/pull-f5.flive.douyincdn.com/live/632e432ef006308c746c0af269faea68.flv
惊艳台,http://104.166.141.237/pull-f5.flive.douyincdn.com/live/dd8b76dac6d32e74f343bcf9a5507a21.flv
香蕉台,http://104.166.141.237/pull-f5.flive.douyincdn.com/live/d93c27034b45514f61784e01a018dd7e.flv
彩虹e,http://104.166.141.237/pull-f5.flive.douyincdn.com/live/47aa7082df1edc96d3f311152444db93.flv
彩虹K,http://154.94.104.2/pull-f5.flive.douyincdn.com/live/90a1479914f84c2cd0b9ea01d639716a.flv
彩虹电影,http://104.166.141.237/pull-f5.flive.douyincdn.com/live/eb2b3c711280dad702cfb60b53902f5f.flv
彩虹R频道,http://154.94.104.2/pull-f5.flive.douyincdn.com/live/7fb541d6aee0e3a78b998de469cc281e.flv
潘朵啦完美,http://104.166.141.237/pull-f5.flive.douyincdn.com/live/65a9a767b12de15ce499c3510de7e73a.flv
潘朵 啦完美,http://154.94.104.4/pull-f5.flive.douyincdn.com/live/c143e10a8b05b27261ebd901a77671de.flv
潘朵拉粉红台,http://154.94.104.4/pull-f5.flive.douyincdn.com/live/57fa634c73253eeba08252e2fd5684b8.flv
极限电影,http://104.166.141.237/pull-f5.flive.douyincdn.com/live/90c1c5b29f1b43e06d30343284b39bef.flv
极限 电影,http://154.94.104.4/pull-f5.flive.douyincdn.com/live/4eab049edfa46dbc255973dea550215d.flv
HOT,http://154.94.104.5/pull-f5.flive.douyincdn.com/live/a45fb7948350122fb9ac602f0e140ebb.flv
Happy,http://104.166.141.237/pull-f5.flive.douyincdn.com/live/5ca8f278f4002502e9ff2f123ec77d94.flv
Hiplay,http://154.94.104.5/pull-f5.flive.douyincdn.com/live/e657fe94b5937bc4efdca0eeadbd1297.flv


CARAC1,http://edge14.vedge.infomaniak.com/livecast/event.stream/playlist.m3u8
CARAC5,https://edge14.vedge.infomaniak.com/livecast/ik:carac5/playlist.m3u8
DMF,https://d-m-f.iptv-playoutcenter.de/dmf/dmf1/playlist.m3u8
Babes,http://88.212.7.11/live/test_basbes_hd_hevc/playlist.m3u8
Brazzers,http://88.212.7.11/live/test_brazzers_hd_hevc/playlist.m3u8
Extasy,http://88.212.7.11/live/test_extasy_hd_hevc/playlist.m3u8
Desire,http://88.212.7.11/live/test_desire_hd_hevc/playlist.m3u8
Erox,http://88.212.7.11/live/test_erox_hd_hevc/playlist.m3u8
Eroxxx,http://88.212.7.11/live/test_eroxxx_hd_hevc/playlist.m3u8
Dorcel,http://88.212.7.11/live/test_dorcel_hd_hevc/playlist.m3u8
Leo,http://88.212.7.11/live/test_leo_hd_hevc/playlist.m3u8
Leo Gold,http://88.212.7.11/live/test_leogold_hd_hevc/playlist.m3u8
Reality Kings,http://88.212.7.11/live/test_realitykings_sd_hevc/playlist.m3u8
Dusk,http://88.212.7.11/live/test_dusk_sd_hevc/playlist.m3u8
Playboy La,http://190.11.225.124:5000/live/playboy_hd/playlist.m3u8
Babes TV,https://cdn4.skygo.mn/live/disk1/Babes/HLSv3-FTA/Babes.m3u8
Hustler HD XXX,http://78.130.250.2:8023/play/a03f/index.m3u8
Brazzers TV,http://78.130.250.2:8023/play/a06f/index.m3u8
Private HD XXX,http://78.130.250.2:8023/play/a03h/index.m3u8
DORCEL TV HD,http://78.130.250.2:8023/play/a069/index.m3u8
Redlight HD,http://78.130.250.2:8023/play/a05q/index.m3u8
Blue Hustler XXX,http://78.130.250.2:8023/play/a03g/index.m3u8
PINK EROTIC 3,http://143.244.63.87/pinkerotic3/playlist.m3u8
PINK EROTIC 2,http://143.244.63.87/pinkerotic2/playlist.m3u8
EROXXX,http://143.244.63.87/eroxxx/playlist.m3u8
PENTHOUSE GOLD,http://185.98.209.11:81/penthouse1/index.m3u8?token=test
PENTHOUSE REALITY,http://185.98.209.11:81/penthouse2/index.m3u8?token=test
PLAYBOY TV,http://31.148.48.15:80/Playboy_TV/playlist.m3u8
Playboy TV HD,http://5.57.74.130:8000/play/a0c8/index.m3u8
PLAYBOY,http://148.230.149.45:1021/play/a01t/index.m3u8
VENUS,http://148.230.149.45:1021/play/a01u/index.m3u8
SEXTREM,http://148.230.149.45:1021/play/a01v/index.m3u8
